Data,BETA0,BETA1,BETA2,BETA3,TAU1,TAU2
2004-09-06,5.41051,-3.462358,-0.361335,-0.466368,3.128331,1.489535
2004-09-07,5.391886,-3.450353,-0.372908,-0.271295,3.157868,1.548566
2004-09-08,5.385978,-3.44795,-0.346505,-0.198077,3.137857,1.553148
2004-09-09,5.377333,-3.432592,-0.382208,-0.293482,3.271392,1.521143
2004-09-10,5.355732,-3.395283,-0.375382,-0.507894,3.279876,1.479197
2004-09-13,5.365402,-3.4144,-0.392852,-0.296918,3.312242,1.575132
2004-09-14,5.367759,-3.416192,-0.401331,-0.349662,3.311395,1.571843
2004-09-15,5.358261,-3.403146,-0.394387,-0.359843,3.300079,1.573123
2004-09-16,5.344475,-3.384598,-0.385639,-0.331579,3.290072,1.582903
2004-09-17,5.329382,-3.352071,-0.389468,-0.513191,3.285137,1.545061
2004-09-20,5.311582,-3.340882,-0.400759,-0.465314,3.307064,1.579832
2004-09-21,5.316766,-3.345874,-0.404348,-0.418107,3.313201,1.608639
2004-09-22,5.288747,-3.314467,-0.407773,-0.41037,3.323623,1.618347
2004-09-23,5.253548,-3.269991,-0.432389,-0.593371,3.390127,1.562785
2004-09-24,5.26471,-3.276933,-0.379458,-0.492621,3.360796,1.594566
2004-09-27,5.253619,-3.264359,-0.406792,-0.530257,3.381431,1.615821
2004-09-28,5.225969,-3.240747,-0.269781,-0.95952,3.016436,2.123408
2004-09-29,5.266523,-3.280723,-0.257037,-0.879122,3.034156,2.243265
2004-09-30,5.340518,-3.395727,-0.315219,-0.7211,3.152546,2.578964
2004-10-01,5.341975,-3.349416,-0.29972,-1.025981,3.001751,2.138339
2004-10-04,5.322765,-3.339854,-0.238226,-0.950022,2.95754,2.147792
2004-10-05,5.296801,-3.309165,-0.2643,-0.981123,2.988279,2.144351
2004-10-06,5.277725,-3.285321,-0.256977,-0.999105,2.974936,2.114445
2004-10-07,5.293635,-3.299416,-0.254627,-1.027483,2.967381,2.076934
2004-10-08,5.265467,-3.272119,-0.275895,-1.162594,3.022789,1.920927
2004-10-11,5.294486,-3.288028,-0.292552,-1.196155,3.037379,1.910834
2004-10-12,5.263512,-3.25526,-0.314529,-1.251503,3.073711,1.877548
2004-10-13,5.255191,-3.240369,-0.291975,-1.229,3.049152,1.881819
2004-10-14,5.244903,-3.228041,-0.309332,-1.275557,3.064032,1.84061
2004-10-15,5.232442,-3.194864,-0.323349,-1.403025,3.058472,1.696833
2004-10-18,5.269118,-3.23947,-0.343648,-1.384587,3.085609,1.750395
2004-10-19,5.283843,-3.250748,-0.327264,-1.376175,3.073646,1.74164
2004-10-20,5.266878,-3.218707,-0.35659,-1.440857,3.154966,1.692219
2004-10-21,5.252375,-3.204843,-0.345095,-1.412577,3.145881,1.71482
2004-10-22,5.250805,-3.202225,-0.341439,-1.382772,3.144936,1.748175
2004-10-25,5.247536,-3.193411,-0.393721,-1.443338,3.210917,1.730115
2004-10-26,5.249865,-3.187605,-0.40878,-1.452549,3.229218,1.721885
2004-10-27,5.237842,-3.168822,-0.398287,-1.43335,3.223102,1.705957
2004-10-28,5.26121,-3.209658,-0.265025,-1.256301,3.210922,1.722224
2004-10-29,5.338871,-3.303712,-0.426031,-1.07087,3.514165,1.965159
2004-11-01,5.323779,-3.266704,-0.350686,-1.261971,3.409794,1.715327
2004-11-02,5.313644,-3.258791,-0.30725,-1.206682,3.365565,1.738055
2004-11-03,5.313098,-3.312214,-0.278366,-1.14241,3.333988,1.83409
2004-11-04,5.31099,-3.325548,-0.267588,-1.13089,3.320343,1.85643
2004-11-05,5.309141,-3.344205,-0.255656,-1.108883,3.306592,1.888297
2004-11-08,5.313447,-3.376445,-0.245225,-1.078396,3.288997,1.983705
2004-11-09,5.217772,-3.124318,-0.266907,-1.295478,3.261465,1.839382
2004-11-10,5.165084,-3.069461,-0.035057,-1.861824,2.893033,2.056566
2004-11-11,5.149143,-3.026283,-0.070894,-1.95784,2.92878,1.913243
2004-11-12,5.122636,-3.012364,-0.06511,-1.943286,2.930117,1.948058
2004-11-15,5.094071,-2.973681,-0.082783,-1.954538,2.95625,1.967299
2004-11-16,5.069419,-2.968855,-0.058584,-1.867645,2.940744,2.146929
2004-11-17,5.090763,-2.989532,-0.052611,-1.872778,2.93957,2.124948
2004-11-18,5.115573,-3.021245,-0.022775,-1.819371,2.923847,2.199914
2004-11-19,5.098891,-2.998043,-0.03413,-1.848167,2.938372,2.156871
2004-11-22,5.078564,-2.973448,-0.054141,-1.88127,2.961269,2.130554
2004-11-23,5.064458,-2.950351,-0.056334,-1.897691,2.963613,2.100387
2004-11-24,5.065286,-2.944964,-0.077603,-1.956258,2.983004,2.013005
2004-11-25,5.050901,-2.941252,-0.08312,-1.979294,2.986637,1.967499
2004-11-26,5.017465,-2.909812,-0.059193,-1.971985,2.962785,1.915084
2004-11-29,5.048122,-2.940024,-0.023459,-1.921942,2.945607,1.942757
2004-11-30,5.03845,-2.935553,-0.045806,-1.947018,2.969426,1.928005
2004-12-01,5.013277,-2.913338,-0.05974,-1.970424,2.984248,1.888618
2004-12-02,5.013726,-2.909787,-0.017181,-1.889957,2.94073,1.939693
2004-12-03,5.022733,-2.915098,-0.066356,-1.936758,2.991931,1.955478
2004-12-06,4.987152,-2.884398,-0.095334,-1.982615,3.061604,1.887512
2004-12-07,4.980012,-2.875863,-0.122736,-1.991509,3.094169,1.928663
2004-12-08,4.956224,-2.858869,-0.08815,-1.91879,3.064356,1.985443
2004-12-09,4.886601,-2.792077,-0.090717,-1.895102,3.166643,2.017567
2004-12-10,4.857814,-2.754461,-0.094176,-1.862078,3.173119,2.084846
2004-12-13,4.847939,-2.757584,-0.067405,-1.836402,3.152065,2.068411
2004-12-14,4.817362,-2.72034,-0.059526,-1.821321,3.14783,2.07322
2004-12-15,4.755337,-2.65868,-0.063051,-1.805988,3.155912,2.092661
2004-12-16,4.750916,-2.676978,-0.014056,-1.649391,3.116218,2.241469
2004-12-17,4.761559,-2.696349,0.05943,-1.549355,3.088832,2.266808
2004-12-20,4.767469,-2.685826,-0.000771,-1.627707,3.156714,2.214219
2004-12-21,4.780038,-2.655081,0.002615,-1.599256,3.130371,2.246883
2004-12-22,4.829954,-2.77841,-0.018513,-1.440225,3.154609,2.704983
2004-12-23,4.846294,-2.801591,-0.066017,-1.483287,3.217246,2.703045
2004-12-24,4.9464,-2.911414,-0.202146,-1.510823,3.362607,3.085703
2004-12-27,4.868212,-2.825715,-0.051423,-1.413867,3.265719,2.73515
2004-12-28,4.847342,-2.72618,-0.052576,-1.607226,3.242539,2.256267
2004-12-29,4.935448,-2.901208,-0.020565,-1.260179,3.277059,2.921445
2004-12-30,4.944608,-2.919941,-0.027469,-1.261582,3.283035,2.943815
2004-12-31,4.96217,-2.96075,-0.036503,-1.234623,3.293291,3.106725
2005-01-03,4.961704,-2.890864,-0.111447,-1.415937,3.395999,2.723281
2005-01-04,4.909715,-2.913265,-0.025017,-1.205345,3.337923,3.099315
2005-01-05,4.913796,-2.91135,0.009475,-1.171742,3.317917,3.090908
2005-01-06,4.845211,-2.829891,0.017249,-1.295412,3.335752,2.579415
2005-01-07,4.814018,-2.808103,0.00941,-1.320543,3.342847,2.549312
2005-01-10,4.80363,-2.812945,0.027992,-1.3045,3.327327,2.552352
2005-01-11,4.776367,-2.75796,0.031849,-1.289802,3.321481,2.57291
2005-01-12,4.785959,-2.768485,0.036315,-1.28445,3.318727,2.577994
2005-01-13,4.748981,-2.729806,0.03715,-1.378506,3.343149,2.38762
2005-01-14,4.696065,-2.676104,0.076343,-1.324728,3.311928,2.404007
2005-01-17,4.666261,-2.649599,0.072276,-1.330649,3.318276,2.401859
2005-01-18,4.647503,-2.630901,0.116521,-1.286644,3.28533,2.399114
2005-01-19,4.550269,-2.52726,0.169584,-1.298399,3.258105,2.29344
2005-01-20,4.627916,-2.611958,0.175631,-1.252196,3.282445,2.405517
2005-01-21,4.647069,-2.625141,0.178711,-1.307829,3.289972,2.326139
2005-01-24,4.627128,-2.608948,0.157666,-1.341639,3.308911,2.310278
2005-01-25,4.53746,-2.517956,0.218673,-1.339889,3.273921,2.201084
2005-01-26,4.5531,-2.54215,0.274645,-1.27794,3.250629,2.196499
2005-01-27,4.56478,-2.5642,0.301723,-1.188365,3.224543,2.304785
2005-01-28,4.567915,-2.555352,0.236116,-1.270057,3.306912,2.276955
2005-01-31,4.554784,-2.541287,0.247782,-1.250354,3.296921,2.294347
2005-02-01,4.554123,-2.559092,0.256811,-1.227752,3.288604,2.32587
2005-02-02,4.497625,-2.489132,0.28193,-1.202426,3.270427,2.319687
2005-02-03,4.425891,-2.40487,0.404219,-1.173105,3.208338,2.164755
2005-02-04,4.373578,-2.359425,0.400298,-1.15902,3.26739,2.177159
2005-02-07,4.291988,-2.285209,0.445583,-1.08391,3.229144,2.208406
2005-02-08,4.331691,-2.329702,0.373009,-1.009078,3.2376,2.484203
2005-02-09,4.269986,-2.262479,0.429601,-1.090029,3.264034,2.295259
2005-02-10,4.290797,-2.281036,0.395309,-1.152857,3.300137,2.264536
2005-02-11,4.370626,-2.355344,0.373726,-1.205352,3.351128,2.239245
2005-02-14,4.39465,-2.381372,0.399289,-1.164653,3.345254,2.271469
2005-02-15,4.40073,-2.402702,0.397178,-1.080667,3.33167,2.431901
2005-02-16,4.462988,-2.472714,0.250691,-1.045842,3.396974,2.737969
2005-02-17,4.499687,-2.515593,0.487367,-0.990058,3.45954,2.467551
2005-02-18,4.56896,-2.600033,0.587767,-0.944448,3.502703,2.398993
2005-02-21,4.585988,-2.614132,0.596298,-0.922855,3.499147,2.419569
2005-02-22,4.606304,-2.621707,0.649152,-1.022589,3.523651,2.27279
2005-02-23,4.614006,-2.620885,0.620655,-1.073718,3.559631,2.258667
2005-02-24,4.650509,-2.654913,0.624067,-1.06495,3.570937,2.280924
2005-02-25,4.646518,-2.655135,0.681115,-1.003643,3.532432,2.279482
2005-02-28,4.621124,-2.631788,0.667063,-1.008671,3.544824,2.29314
2005-03-01,4.672199,-2.683083,0.664603,-1.034707,3.57331,2.284257
2005-03-02,4.750967,-2.761493,0.708861,-1.048257,3.625123,2.237596
2005-03-03,4.772412,-2.78265,0.668699,-1.116325,3.671144,2.221055
2005-03-04,4.70842,-2.707111,0.701822,-1.211323,3.72556,2.108217
2005-03-07,4.660055,-2.657664,0.709221,-1.237262,3.772202,2.083042
2005-03-08,4.700155,-2.695757,0.739581,-1.259878,3.784695,2.046324
2005-03-09,4.761604,-2.756955,0.810475,-1.217884,3.810673,2.021965
2005-03-10,4.761656,-2.754827,0.811839,-1.240992,3.821054,2.018179
2005-03-11,4.804589,-2.796138,0.798947,-1.280509,3.845423,2.014299
2005-03-14,4.783805,-2.784186,0.829932,-1.213446,3.817717,2.048022
2005-03-15,4.725697,-2.719616,0.808082,-1.207883,3.88504,2.071855
2005-03-16,4.691312,-2.703268,0.759747,-0.983663,3.856156,2.382046
2005-03-17,4.66573,-2.665495,0.734456,-1.003774,3.879228,2.390095
2005-03-18,4.703173,-2.711724,0.759546,-0.948097,3.881606,2.431483
2005-03-21,4.677666,-2.687581,0.786415,-0.881131,3.850704,2.472146
2005-03-22,4.648812,-2.65524,0.715054,-0.832369,3.892205,2.64382
2005-03-23,4.655866,-2.660335,0.774519,-0.768988,3.88179,2.650047
2005-03-24,4.668642,-2.667729,0.686067,-0.746445,3.940837,2.821067
2005-03-29,4.669565,-2.674392,0.705107,-0.729131,3.932401,2.824094
2005-03-30,4.683654,-2.682919,0.679399,-0.776993,3.966024,2.81225
2005-03-31,4.676646,-2.690939,0.645042,-0.876801,4.03388,2.755857
2005-04-01,4.712748,-2.721438,0.566877,-1.020467,4.140419,2.70078
2005-04-04,4.618646,-2.601717,0.779194,-1.12569,4.07905,2.381592
2005-04-05,4.60739,-2.590867,0.776802,-1.113931,4.080817,2.406297
2005-04-06,4.663069,-2.648737,0.725278,-1.150715,4.130519,2.477001
2005-04-07,4.686788,-2.680453,0.688046,-1.213753,4.166639,2.463416
2005-04-08,4.749901,-2.740342,0.663016,-1.255215,4.199855,2.464958
2005-04-11,4.72084,-2.716998,0.675015,-1.25551,4.195548,2.444286
2005-04-12,4.681591,-2.680796,0.691655,-1.214196,4.176465,2.459362
2005-04-13,4.674603,-2.671303,0.643239,-1.221638,4.203809,2.502064
2005-04-14,4.686526,-2.68793,0.654182,-1.214947,4.198927,2.490684
2005-04-15,4.693098,-2.698828,0.602025,-1.315787,4.252356,2.439427
2005-04-18,4.687252,-2.70778,0.614331,-1.296054,4.242001,2.441325
2005-04-19,4.623984,-2.621125,0.639139,-1.387938,4.265003,2.25783
2005-04-20,4.629628,-2.619861,0.631434,-1.408375,4.27217,2.240638
2005-04-21,4.58659,-2.555161,0.769182,-1.467569,4.225546,2.006351
2005-04-22,4.602907,-2.601177,0.684022,-1.400151,4.266457,2.195201
2005-04-25,4.589215,-2.582342,0.669042,-1.403555,4.274938,2.208161
2005-04-26,4.569002,-2.565897,0.661698,-1.408519,4.282533,2.214352
2005-04-27,4.529527,-2.528097,0.656826,-1.419899,4.286,2.193226
2005-04-28,4.541211,-2.538647,0.649357,-1.472898,4.297175,2.145535
2005-04-29,4.546603,-2.525793,0.71965,-1.539965,4.285392,2.003966
2005-05-02,4.393801,-2.380237,1.948615,-2.467115,4.37016,2.540529
2005-05-03,4.388216,-2.376649,1.938219,-2.501198,4.393521,2.494502
2005-05-04,4.409978,-2.395672,1.977101,-2.476682,4.394617,2.476549
2005-05-05,4.429553,-2.417051,1.944544,-2.500602,4.420001,2.507091
2005-05-06,4.432782,-2.427492,1.979984,-2.439258,4.379067,2.519911
2005-05-09,4.408544,-2.408087,1.998111,-2.404743,4.350995,2.527021
2005-05-10,4.331532,-2.320455,1.950917,-2.457611,4.412633,2.490625
2005-05-11,4.293827,-2.277874,1.937425,-2.456312,4.414034,2.509728
2005-05-12,4.288275,-2.274368,1.942635,-2.426457,4.396163,2.549447
2005-05-13,4.283968,-2.273698,1.886375,-2.427859,4.402413,2.655667
2005-05-16,4.265634,-2.249468,1.909303,-2.412176,4.38635,2.610664
2005-05-17,4.285282,-2.2719,1.909125,-2.415114,4.394367,2.611543
2005-05-18,4.213353,-2.203681,1.916202,-2.392499,4.377318,2.615605
2005-05-19,4.204468,-2.194772,1.944177,-2.365564,4.364896,2.608664
2005-05-20,4.237207,-2.237508,1.984782,-2.28854,4.331919,2.695599
2005-05-23,4.211006,-2.204166,1.965519,-2.307368,4.349144,2.707507
2005-05-24,4.183394,-2.168,1.927451,-2.388152,4.41984,2.611686
2005-05-25,4.207639,-2.185524,1.897434,-2.457344,4.470548,2.545027
2005-05-26,4.248235,-2.223097,1.932544,-2.437826,4.482214,2.51156
2005-05-27,4.322905,-2.29094,1.887963,-2.507944,4.543247,2.506883
2005-05-30,4.332517,-2.300537,1.879525,-2.51411,4.549263,2.51169
2005-05-31,4.251521,-2.241739,1.852228,-2.446532,4.543908,2.568124
2005-06-01,4.267432,-2.257751,1.768723,-2.540052,4.587854,2.381414
2005-06-02,4.382085,-2.290299,-0.231786,-1.605246,3.752295,1.550862
2005-06-03,4.300872,-2.190887,-0.251877,-1.641439,3.824679,1.544788
2005-06-06,4.276859,-2.16784,0.062601,-1.90442,3.630783,1.638256
2005-06-07,4.19811,-2.06755,0.049347,-1.972662,3.682329,1.580838
2005-06-08,4.156074,-2.011576,0.045598,-2.070427,3.688517,1.535513
2005-06-09,4.089371,-1.97913,1.107915,-2.942303,3.330351,1.980302
2005-06-10,4.089679,-2.004729,1.125826,-2.868175,3.275028,2.056258
2005-06-13,4.158172,-2.077104,1.092132,-2.895573,3.302877,2.042785
2005-06-14,4.179851,-2.108235,1.083792,-2.882366,3.291641,2.069973
2005-06-15,4.307961,-2.260215,1.12507,-2.799694,3.301647,2.162561
2005-06-16,4.308785,-2.273092,1.186598,-2.691278,3.268072,2.126608
2005-06-17,4.255654,-2.212308,1.1754,-2.687533,3.257485,2.091739
2005-06-20,4.282049,-2.227971,1.133753,-2.743414,3.293687,1.997184
2005-06-21,4.187457,-2.119197,1.041266,-2.824027,3.364031,1.908877
2005-06-22,4.082063,-1.999394,0.994248,-2.826695,3.407567,1.859536
2005-06-23,4.115074,-2.043367,0.968482,-2.79808,3.391265,1.906381
2005-06-24,4.082933,-2.007678,0.95047,-2.77538,3.383562,1.919462
2005-06-27,4.068686,-1.983867,0.908156,-2.790346,3.392126,1.897579
2005-06-28,4.146441,-2.060423,0.887841,-2.774749,3.405242,1.925801
2005-06-29,4.143365,-2.047136,0.836661,-2.815182,3.433887,1.913982
2005-06-30,4.135005,-2.026965,0.829688,-2.789856,3.418016,1.857557
2005-07-01,4.107609,-2.012392,0.83896,-2.717162,3.382733,1.908393
2005-07-04,4.1526,-2.072085,0.858071,-2.620743,3.317802,2.023132
2005-07-05,4.19746,-2.148645,0.903282,-2.492389,3.250627,2.15429
2005-07-06,4.190071,-2.145104,0.911548,-2.475556,3.23578,2.155117
2005-07-07,4.207857,-2.157464,0.82034,-2.537427,3.325931,2.102102
2005-07-08,4.157382,-2.095039,0.830278,-2.505547,3.30679,2.109898
2005-07-11,4.26235,-2.203632,0.813569,-2.509594,3.343739,2.273336
2005-07-12,4.283983,-2.236682,0.826173,-2.487177,3.338768,2.350867
2005-07-13,4.323248,-2.282088,0.837402,-2.471958,3.342888,2.401682
2005-07-14,4.369921,-2.333045,0.86606,-2.450162,3.359665,2.405222
2005-07-15,4.352499,-2.305403,0.888364,-2.438692,3.35445,2.388193
2005-07-18,4.308935,-2.256566,0.877401,-2.458379,3.373631,2.378456
2005-07-19,4.322809,-2.276651,0.914596,-2.432623,3.373746,2.379666
2005-07-20,4.287133,-2.238286,0.979815,-2.3877,3.353544,2.281857
2005-07-21,4.319016,-2.252901,0.916203,-2.466185,3.423784,2.278233
2005-07-22,4.269624,-2.202046,0.904031,-2.484748,3.43736,2.268387
2005-07-25,4.252365,-2.183274,0.909478,-2.48037,3.43919,2.284953
2005-07-26,4.261347,-2.190095,0.930741,-2.450055,3.4225,2.325619
2005-07-27,4.242239,-2.165009,0.921812,-2.463341,3.439378,2.332048
2005-07-28,4.247069,-2.175896,0.9433,-2.437085,3.43105,2.38599
2005-07-29,4.245323,-2.17181,0.964463,-2.433002,3.441234,2.394804
2005-08-01,4.300953,-2.244536,1.016326,-2.359078,3.432668,2.537513
2005-08-02,4.299309,-2.258403,1.036451,-2.344876,3.433077,2.548138
2005-08-03,4.301088,-2.247346,1.123755,-2.306948,3.457869,2.425785
2005-08-04,4.284901,-2.229782,1.132329,-2.302131,3.464964,2.443457
2005-08-05,4.322366,-2.27628,1.19781,-2.238239,3.47209,2.479798
2005-08-08,4.306192,-2.265166,1.224737,-2.215735,3.464917,2.486081
2005-08-09,4.278296,-2.234603,1.231237,-2.205993,3.46288,2.507553
2005-08-10,4.254118,-2.204864,1.227702,-2.215697,3.481083,2.508071
2005-08-11,4.260253,-2.213568,1.234849,-2.22617,3.501727,2.485688
2005-08-12,4.252338,-2.19858,1.19371,-2.285979,3.574663,2.453527
2005-08-15,4.209264,-2.136661,1.196252,-2.340089,3.623558,2.350288
2005-08-16,4.201595,-2.118873,1.168105,-2.391554,3.664676,2.318183
2005-08-17,4.18159,-2.0985,1.155971,-2.407729,3.683122,2.334935
2005-08-18,4.159852,-2.078462,1.153487,-2.419292,3.695399,2.330707
2005-08-19,4.144289,-2.066228,1.161458,-2.400062,3.684806,2.359811
2005-08-22,4.165999,-2.094934,1.176388,-2.384917,3.688936,2.402228
2005-08-23,4.143402,-2.078892,1.167937,-2.361024,3.696521,2.520485
2005-08-24,4.117753,-2.048462,1.173897,-2.360686,3.700592,2.518445
2005-08-25,4.103066,-2.033714,1.161388,-2.383079,3.723591,2.520645
2005-08-26,4.100813,-2.03294,1.170957,-2.360745,3.717842,2.585432
2005-08-29,4.100489,-2.036489,1.182991,-2.344691,3.715903,2.623201
2005-08-30,4.122672,-2.069243,1.199439,-2.306801,3.699873,2.710209
2005-08-31,4.120499,-2.059206,1.117789,-2.383831,3.811196,2.726677
2005-09-01,4.062488,-2.019965,1.158431,-2.405577,3.835129,2.586839
2005-09-02,4.056672,-2.01548,1.140237,-2.452104,3.871575,2.549676
2005-09-05,4.034023,-1.990508,1.149148,-2.462332,3.881342,2.521323
2005-09-06,4.044549,-2.005202,1.188443,-2.414021,3.863943,2.567742
2005-09-07,4.04623,-2.004448,1.202277,-2.406112,3.862237,2.562104
2005-09-08,4.039997,-1.990703,1.188604,-2.432085,3.888384,2.574107
2005-09-09,4.030527,-1.983277,1.187809,-2.419302,3.902909,2.68943
2005-09-12,4.102633,-2.06669,1.243334,-2.357039,3.909094,2.782205
2005-09-13,4.150947,-2.116728,1.207595,-2.386612,3.952817,2.895623
2005-09-14,4.113926,-2.079169,1.215,-2.368577,3.957025,2.951879
2005-09-15,4.141503,-2.115581,1.246878,-2.32277,3.950242,3.05524
2005-09-16,4.160911,-2.137125,1.272132,-2.299875,3.947222,3.066244
2005-09-19,4.14748,-2.12432,1.272563,-2.309189,3.968497,3.061033
2005-09-20,4.090395,-2.066007,1.273575,-2.3182,4.017631,3.049969
2005-09-21,4.005886,-1.976547,1.295339,-2.315867,4.039074,3.011993
2005-09-22,4.013619,-1.982413,1.294426,-2.331424,4.05798,2.982199
2005-09-23,4.038646,-2.017365,1.314865,-2.256923,4.023782,3.211638
2005-09-26,4.113441,-2.090363,1.351089,-2.210687,4.023145,3.301243
2005-09-27,4.136705,-2.116636,1.323173,-2.226853,4.039113,3.390625
2005-09-28,4.104253,-2.090721,1.391826,-2.140088,3.971382,3.46755
2005-09-29,4.108109,-2.09451,1.385023,-2.103896,3.88333,3.721109
2005-09-30,4.094303,-2.080901,1.387969,-2.099237,3.870846,3.746461
2005-10-03,4.104669,-2.101714,1.491414,-1.990893,3.839649,3.736544
2005-10-04,4.099148,-2.086751,1.428588,-2.051108,3.886134,3.734295
2005-10-05,4.086011,-2.075018,1.436783,-2.041228,3.86993,3.755537
2005-10-06,4.159437,-2.149947,1.370158,-2.099312,3.833678,3.897451
2005-10-07,4.145496,-2.102244,1.37465,-2.09539,3.786783,3.955973
2005-10-10,4.18781,-2.154276,1.265333,-2.230799,3.628116,4.144136
2005-10-11,4.022537,-2.115146,1.316072,-3.756017,1.154142,2.027048
2005-10-12,4.060813,-2.160821,1.300874,-3.770055,1.155356,2.019463
2005-10-13,4.135597,-2.211052,1.273402,-3.75875,1.21711,2.018921
2005-10-14,4.131136,-2.188559,1.266205,-3.765725,1.228987,2.001959
2005-10-17,4.122291,-2.191814,1.286325,-3.796697,1.114593,1.935967
2005-10-18,4.132551,-2.196282,1.270307,-3.82427,1.110899,1.937321
2005-10-19,4.12206,-2.17853,1.261785,-3.853139,1.166098,1.956644
2005-10-20,4.163291,-2.218383,1.353876,-3.832217,1.189975,2.029466
2005-10-21,4.080722,-2.172677,1.384264,-3.778365,1.176073,2.034671
2005-10-24,4.07242,-2.17741,1.352775,-3.843638,1.10442,1.978433
2005-10-25,4.106302,-2.208783,1.396687,-3.821268,1.09241,1.947982
2005-10-26,4.173712,-2.263549,1.394993,-3.750943,1.040987,1.887149
2005-10-27,4.179638,-2.256994,1.353972,-3.818591,1.001637,1.862635
2005-10-28,4.165732,-2.211501,1.3965,-3.749871,1.025698,1.861573
2005-10-31,4.16764,-2.220575,1.398206,-3.747675,1.026659,1.867426
2005-11-01,4.142108,-2.197681,1.485117,-3.640526,1.044441,1.858033
2005-11-02,4.164173,-2.212706,1.504742,-3.592493,0.993362,1.758509
2005-11-03,4.162965,-2.231146,1.486037,-3.619853,0.963906,1.734227
2005-11-04,4.172104,-2.235686,1.454094,-3.660046,0.95907,1.713053
2005-11-07,4.163162,-2.208071,1.570101,-3.539609,0.978131,1.715782
2005-11-08,4.129804,-2.159411,1.556944,-3.552343,0.945223,1.674381
2005-11-09,4.14255,-2.154364,1.608353,-3.500287,0.959183,1.673991
2005-11-10,4.159101,-2.190984,1.575499,-3.539043,0.910621,1.61246
2005-11-11,4.140542,-2.16576,1.566307,-3.551356,0.908006,1.611839
2005-11-14,4.130967,-2.134605,1.525377,-3.611572,0.873778,1.586704
2005-11-15,4.176326,-2.177038,1.496359,-3.632078,0.869354,1.584039
2005-11-16,4.127676,-2.107954,1.432222,-3.699668,0.902701,1.679091
2005-11-17,4.130832,-2.099982,1.492264,-3.617316,0.92623,1.686559
2005-11-18,4.134806,-2.053602,1.682977,-3.445463,0.949003,1.675711
2005-11-21,4.139903,-2.043595,1.6625,-3.470111,0.941192,1.669842
2005-11-22,4.124534,-1.999487,1.63769,-3.525512,0.964583,1.675251
2005-11-23,4.10592,-1.955953,1.610206,-3.584383,0.971754,1.680854
2005-11-24,4.098221,-1.91753,1.536911,-3.634227,1.092233,1.877907
2005-11-25,4.07841,-1.906515,1.521504,-3.640713,0.989405,1.740052
2005-11-28,4.089219,-1.914505,1.585453,-3.579171,1.025558,1.797806
2005-11-29,4.08711,-1.913526,1.586317,-3.572236,1.029133,1.796276
2005-11-30,4.096048,-1.929338,1.614762,-3.534801,0.99564,1.751504
2005-12-01,4.051838,-1.852046,1.602129,-3.658264,1.066348,1.77615
2005-12-02,4.080771,-1.89035,1.588289,-3.646226,1.075311,1.769047
2005-12-05,4.073286,-1.912413,1.571628,-3.67045,0.98575,1.712874
2005-12-06,4.077459,-1.905972,1.582558,-3.634558,1.080993,1.850237
2005-12-07,4.050074,-1.862929,1.612114,-3.581938,1.104337,1.844837
2005-12-08,4.056565,-1.876486,1.614508,-3.5804,1.082026,1.840906
2005-12-09,4.075832,-1.908148,1.701956,-3.507718,1.067132,1.823423
2005-12-12,4.059199,-1.905592,1.731261,-3.468516,1.063872,1.833514
2005-12-13,4.03122,-1.884583,1.773322,-3.406128,1.077087,1.871311
2005-12-14,4.019488,-1.846311,1.768758,-3.405913,1.130351,1.963324
2005-12-15,4.009304,-1.818878,1.785634,-3.37614,1.147308,1.96391
2005-12-16,3.961156,-1.754729,1.805355,-3.332101,1.163965,1.963377
2005-12-19,3.939867,-1.753462,1.81781,-3.302058,1.091156,1.883907
2005-12-20,3.929606,-1.739664,1.865477,-3.234622,1.119071,1.877748
2005-12-21,3.93778,-1.745366,1.930938,-3.152957,1.154559,1.906056
2005-12-22,3.918642,-1.733506,1.968396,-3.101896,1.157991,1.912411
2005-12-23,3.868588,-1.686334,1.998435,-3.035322,1.118261,1.793084
2005-12-27,3.909682,-1.723765,1.965714,-3.08814,1.213197,2.054618
2005-12-28,3.880711,-1.69991,1.946027,-3.109822,1.212144,2.091583
2005-12-29,3.858948,-1.705713,1.974601,-3.051972,1.126199,1.957284
2005-12-30,4.032927,-1.853859,1.76123,-3.504882,1.256585,2.590688
2006-01-02,4.054219,-1.918581,1.821323,-3.329259,1.074156,2.071315
2006-01-03,4.033776,-1.89902,1.828248,-3.334575,1.039804,1.990848
2006-01-04,3.869487,-1.68976,1.873953,-3.318881,1.043467,1.794674
2006-01-05,3.836994,-1.635715,1.863029,-3.325699,1.08134,1.811729
2006-01-06,3.824341,-1.624301,1.892583,-3.283691,1.105609,1.820537
2006-01-09,3.776032,-1.571627,1.950755,-3.20422,1.140511,1.846499
2006-01-10,3.786736,-1.580187,2.019607,-3.142508,1.173059,1.895597
2006-01-11,3.785539,-1.571993,2.077133,-3.086432,1.173498,1.892549
2006-01-12,3.771982,-1.544417,2.040301,-3.133519,1.203784,1.906287
2006-01-13,3.774453,-1.560531,2.040807,-3.136566,1.198064,1.931107
2006-01-16,3.796065,-1.569482,2.014042,-3.165261,1.205794,1.934953
2006-01-17,3.798423,-1.565851,1.991373,-3.191345,1.221179,1.942079
2006-01-18,3.783524,-1.541527,2.097385,-3.085001,1.287003,1.975679
2006-01-19,3.863497,-1.619385,2.076138,-3.069505,1.281653,1.986871
